number_new,number,ID,cities_lead,Publication identified in which step,manual_validation_cities_lead,publication_DOI,publication_URL,article_yes_no,publication_date,unsure_about_publ_yes_no,reason,other_comments,rater,title,firstDrksPublishDate,startDate,startDate_plannedActual,studyEnd,intervention.category0,intervention.value0,intervention.category1,intervention.value1,intervention.category2,intervention.value2,address.type0,address.affiliation0,address.firstname0,address.lastname0,address.type1,address.affiliation1,address.firstname1,address.lastname1,targetSize,recruitmentStatus,investorInitiated,monoMultiCentric,publication.category0,publication.type0,publication.value0,publication.category1,publication.type1,publication.value1,publication.category2,publication.type2,publication.value2,publication.category3,publication.type3,publication.value3,publication.category4,publication.type4,publication.value4
278,6,DRKS00012871,Aachen,2,Aachen,10.1186/s12938-018-0526-0,https://pubmed.ncbi.nlm.nih.gov/30005629/,yes,13.07.2018,no,,,EN,Application of EIT to determine bladder volume,2017-08-24,2013/09/02,Actual,2014/12/31,Arm 1,"Interventional, open proband study of the measurement of the electrical impedance at filled and emptied bladder with measuring times of 5 minutes per cycle each with different electrode arrangements.",,,,,Primary Sponsor,Klinik für UrologieUniklinik RWTH Aachen,Joachim,Grosse,Contact for Scientific Queries,Klinik für UrologieUniklinik RWTH Aachen,Joachim,Grosse,12,"Recruiting complete, follow-up complete",yes,Monocenter trial,Approval of ethics comm. (mandatory for transfer to Studybox),13-042_2013-07-25_Votum BlasenEIT.pdf,Ethics Votum,Further trial documents,13-042_BlasenEIT_CRF_Version 01_07-08-2013.pdf,Patient survey,Further trial documents,EIT_Messprotokoll_UKA_HIA .pdf,Messprotokoll Elektrische Impedanztomographie,,,,,,
388,2,DRKS00004887,Aachen,3,Aachen,DOI: 10.1055/a-0891-3505 ,https://pubmed.ncbi.nlm.nih.gov/31108553/,yes,20.05.2019,no,,,EN,Changing lifestyle and improving subjective judgment of occupation by a  planning-competence-training with follow-up care among type II diabetes mellitus and adiposity inpatients: a randomized controlled trail. ,2013-10-07,2013/01/16,Actual,2015/04/30,Arm 1,"Experimental condition: Planning-Competence training with follow-up care.<br/><br/>The planning competence training is composed of four training units (length 1 -1,5 h) and a transfer session.<br/>Following three training units the transfer session is placed before the last training unit, which is a parallel construct to the first unit thus functioning as a performance control. <br/>By providing an opportunity for reflection of the training contents the transfer session supports the process of implementing the content to daily life (length 1,5 h).  The units take place at five sequenced days. The individual target planning<br/>During an one-on-one closing interview(length: about one hour) at the end of the rehabilitation process at the clinic certain goals and plans are defined individually.  Each patient formulates individual self-instructions helping to put the plans concnering lifestyle shift into practice. The telephone follow-up care lasts six months in which the patient is called every four weeks. Throughout those phone calls the planned goals and lifestyle shifts are discussed (length about 15 minutes). <br/>",Arm 2,Control group 1: Planning-Competence training without follow-up care,Arm 3,"Control group 2:  Placebocondition with placebo follow-up care<br/>The placebo- intervention serves lectures about general topics in health care and prevention like stressprevention, relaxation, alcohol, burnout prevention and salutogenisis (length about 30 minutes). In addition the contact is abided by  one-on-one interviews in the end of the training and a placebo telephone follow-up care (each telephone call lasting about 15 minutes).  General state of health is addressed during those calls without bringing up the topics of lifestyle shift.<br/><br/><br/>",Primary Sponsor,REFONET,Burkhard,Wild,Contact for Scientific Queries,"Institut für Psychologie<br/>RWTH Aachen, Lehr- & Forschungsgebiet Berufliche Rehabilitation",Viktoria,Arling,791,"Recruiting complete, follow-up complete",yes,Monocenter trial,,,,,,,,,,,,,,,
305,14,DRKS00011600,Bochum,2,Bochum,10.1016/j.jcrs.2017.04.038,https://www.sciencedirect.com/science/article/abs/pii/S0886335017304479,yes,01.07.2017,no,,,HK,Evaluation of Clinical Acceptability of the IC-8 Intraocular Lens,2017-01-25,2015/03/03,Actual,2016/11/10,Arm 1,"Appropriate patients are included in the study after signing the patient consent form. A total of 10 study visits will be necessary:<br/><br/>Preoperative examination of both eyes, first eye surgery (monofocale intraocular lens), examination 1 day after surgery first eye, examination 1 week after surgery first eye, second eye surgery (study lens IC-8, Acufocus), examination 1 day after surgery second eye, examination 1 week after surgery second eye, examination 1 month after surgery second eye,<br/>Examination 3 months after surgery second eye, examination 6 months after surgery second eye<br/><br/><br/>The following examinations are carried out on the preoperative visit:: ocular health and history;visual acuities; manifest refraction; pupil size (mesopic, photopic, and dilated); keratometry; biomicroscopic slit-lamp findings; visual symptoms; biometry (e.g., axial length, ACD, lens thickness, white to white, and IOL power calculation); ocular dominance;  applanation intraocular pressure; dilated fundus exam; potential acuity assessment; subjective questionnaire.<br/>Postoperative visits will assess visual outcomes including: visual acuities; manifest refraction; defocus curves; keratometry; applanation intraocular pressure; slit-lamp findings; visual symptoms; dilated fundus exam; AcuTarget (subgroup only); mesoptometer (subgroup only); visual field test (subgroup only),<br/>subjective questionnaires, and an investigator survey. All examinations with the exception of the AcuTarget measurement and the subjective patient questionnaire, are considered routine, non-invasive assessments after cataract surgery.<br/>",,,,,Primary Sponsor,AcuFocus Inc.,Michael,Bonilla,Contact for Scientific Queries,Universitätsklinikum Knappschaftskrankenhaus Bochum GmbH Augenklinik,H. Burkhard,Dick,130,"Recruiting complete, follow-up complete",no,Multicenter trial,,,,,,,,,,,,,,,
79,90,DRKS00013047,Erlangen,0,Erlangen,10.1186/s12871-017-0435-y,https://link.springer.com/article/10.1186/s12871-017-0435-y,no,,yes,"""preliminary data"" von 14/100 Patienten werden berichtet. ",,HK,Intraoperative neuromonitoring of neurosurgical patients using a non-invasive tissue-photospectrometry technique ,2017-10-02,2013/10/04,Actual,2017/10/21,Arm 1,"A non-invasive combined Laser-Doppler-flowmeter and tissue-spectrophotometer is used in patients undergoing scheduled intracranial surgery (group 1) to record local cerebral microcirculation intraoperatively. At the same time, somatosensory evoked potentials (SEP) as an established neuromonitoring technique were measured.",Arm 2,"A non-invasive combined Laser-Doppler-flowmeter and tissue-spectrophotometer is used in patients which underwent neurosurgery in an emergency setting within 72 hours (group 2). Pathological changes of local cerebral microcirculation during intraoperative measurements are compared to changes of somatosensory evoked potentials (SEP), which are recorded at the same time.",,,Primary Sponsor,"Neurochirurgische Klinik, Universitätsklinikum Erlangen",Michael,Buchfelder,Contact for Scientific Queries,"Paracelsus-Klinik Osnabrück, Neurochirurgische Abteilung",Björn,Sommer,100,"Recruiting complete, follow-up complete",yes,Monocenter trial,trial protocol (mandatory for transfer to Studybox),O2C_Studienprotokoll.pdf,Studienprotokoll Intraoperatives vaskuläres Neuromonitoring,,,,,,,,,,,,
91,131,DRKS00006303,Freiburg,0,Freiburg,,,no,,no,,,HK,Osypka BabyStent® for the treatment of aortic isthmus stenosis in early childhood,2014-12-19,2015/09/10,Actual,2017/10/10,Arm 1,Implantation of Osypka BabyStent(R),,,,,Primary Sponsor,Universitäts Herzzentrum Freiburg Bad KrozingenKlinik für Angeborene Herzfehler und Pädiatrische Kardiologie,Brigitte,Stiller,Contact for Scientific Queries,Universitäts Herzzentrum Freiburg Bad KrozingenKlinik für Angeborene Herzfehler und Pädiatrische Kardiologie,Brigitte,Stiller,19,"Recruiting complete, follow-up complete",yes,Multicenter trial,,,,,,,,,,,,,,,
398,194,DRKS00010157,Halle,3,yes,10.1055/a-0842-6901,https://www.thieme-connect.com/products/ejournals/abstract/10.1055/a-0842-6901 ,yes,02.05.2019,no,,,TB,Implementation of a short screening (UKS) for psychosocial problems for need-based referall to rehabilitation for patients with musculoskeletal diseases and psychosocial stress in primary care,2016-05-30,2016/06/06,Actual,2017/06/30,Arm 1,"The consenting practices will be referred to the intervention group (IG) or control group (KG) through a randomized procedure and receive a study folder for documentation and provision of necessary study materials. After information and consent to participate, potential study participants receive a study folder with the same study materials (study information, declaration of consent, screening T0 (UKS)).<br/><br/>In the KG the screening sheet in original form is sent back only to scientists. In this group the choice of rehabilitation concept and clinic by the DRV reviewers is based on the usual criteria and documents. <br/><br/>Additionally, after receiving  an answer concerning their rehabilitation application through the DRV, participants of both groups fill out a T1-questionnaire and send it to the scientists.<br/>",Arm 2,"In the IG the screening sheet (UKS) as well as an evaluation survey are added to the medical record in the rehabilitation application as well as the scientist. Thereby already the reviewer, who has been trained regarding the UKS screening, has an additional information on psychosocial strains of the applicant which can be consulted for the referral decision.",,,Primary Sponsor,"Institut für Rehabilitationsmedizin,Medizinische Fakultät der Martin-Luther-Universität Halle",Wilfried,Mau,Contact for Scientific Queries,"Institut für Rehabilitationsmedizin,Medizinische Fakultät der Martin-Luther-Universität Halle",Wilfried,Mau,540,"Recruiting complete, follow-up complete",yes,Multicenter trial,,,,,,,,,,,,,,,
178,208,DRKS00009883,Hamburg,1,yes,10.1186/s12885-016-2896-7,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5101649/ ,yes,08.11.2016,no,,,TB,"Effectiveness of a structured intervention to improve nutritional behavior of young patients after cancer in childhood, adolescence and young adulthood (AYAs) with cardiovascular risk - a pilot study in context of the Survivorship Program of University Cancer Center Hamburg in cooperation with the University Neubrandenburg - INAYA study (Improved Nutrition in AYAs)",2016-03-10,2015/06/01,Actual,2015/10/08,Arm 1,"After the consultation hour for cancer survivors in the UCCH the patients of the intervention group will be 45 minutes comprehensively and individual advised by a dietitian, based on healthy eating recommendations of the German Food Association (DGE). In context of a “Baseline Assessment” the patients current nutrition behavior, as well as demographical, disease-related and biochemical parameter will be registered. After two and six weeks the dietitian contacts the patient for another consultation by phone. After 12 weeks there will be a final discussion including an “Endpoint Assessment” where the patient receives another questionnaire (HEI).",,,,,Primary Sponsor,Universitätsklinikum Hamburg-Eppendorf,[---]*,[---]*,Contact for Scientific Queries,"Hubertus Wald Tumorzentrum, Universitäres Cancer Center Hamburg, II. Medizinische Klinik und Poliklinik, Universitätsklinikum Hamburg-Eppendorf (UKE), Haus O24",Julia,Quidde,21,"Recruiting complete, follow-up complete",yes,Monocenter trial,Paper,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5101649/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5101649/,,,,,,,,,,,,
410,220,DRKS00005159,Hannover,3,yes,10.1177/2047487319849505,https://journals.sagepub.com/doi/10.1177/2047487319849505,yes,13.05.2019,no,,"""research letter"" in journal",TB,Improvement of endogenous regeneration in female healthy volunteers through physical exercise “REBIRTH aktiv women”,2013-09-25,2013/11/20,Actual,2015/03/26,Arm 1,"Training intervention of 210 min per week over a period of 6 months. Training could be bicycling, ergometer training, swimming, walking, nordic-walking, jogging, running, rowing-ergometer, shoulder-arm-ergometer. Also daily activities will be relevant as physical activities.",Arm 2,Waiting-control group of half of the study participants.,,,Primary Sponsor,MHH - HTTG Chirurgie,Axel,Haverich,Contact for Scientific Queries,Medizinische Hochschule Hannover,Uwe,Tegtbur,313,"Recruiting complete, follow-up complete",yes,Monocenter trial,,,,,,,,,,,,,,,
196,243,DRKS00006206,Heidelberg,1,yes,10.1016/j.mhp.2016.03.002,https://www.sciencedirect.com/science/article/pii/S2212657015300118,yes,03.03.2016,no,,,TB,Evaluating a stress prevention programme for sixth form pupils,2014-07-01,2014/03/24,Actual,2014/12/31,Arm 1,"Intervention Group. The stress prevention programme will be conducted in the school setting and substitute regular sports lessons for pupils of the intervention group. Pupils will work on the topics stress and coping, class climate and peer relations as well as exam situations and worries about the future. The training contains psychoeducation as well as experience-based education. It encompasses three sessions of 90 minutes each.<br/>",Arm 2,Wait list control group. Pupils of the wait list comparison will attend regular sports classes while the programme is carried out in the intervention group. After postline assessment the wait list control group will be given the opportunity to participate in the stress prevention programme as well.,,,Primary Sponsor,Kinder- und Jugendpsychiatrie Heidelberg Zentrum für Psychosoziale Medizin,Franz,Resch,Contact for Scientific Queries,Kinder- und Jugendpsychiatrie HeidelbergZentrum für Psychosoziale Medizin,Michael,Kaess,300,"Recruiting complete, follow-up complete",yes,Monocenter trial,Paper,http://www.sciencedirect.com/science/article/pii/S2212657015300118,"Eppelmann, L., Parzer, P., Lenzen, C., Bürger, A., Haffner, J., Resch, F., & Kaess, M. (2016). Stress, coping and emotional and behavioral problems among German high school students. Mental Health & Prevention. https://doi.org/10.1016/j.mhp.2016.03.002",,,,,,,,,,,,
252,305,DRKS00010061,Köln,2,Köln,10.1159/000480356,https://www.karger.com/Article/Pdf/480356,yes,27.09.2017,no,,"Im Paper wird die Studie als beobachtend, nicht interventionell beschrieben",SW,"Prospective, early, intensified controll of central retinal thickness by optical coherence tomography to detect early recurrence of disease after treatment of neovascular Age-related macula degeneration (nAMD) by intravitreal injection ",2016-04-04,2016/04/01,Actual,2016/09/15,Arm 1,"Intervention group : All patients received three additional OCT examinations (optical coherence tomography) by protocol - in Detail: an examination of both eyes on day 7 (+/- 2 days) , day 14 (+/- 2) and day 21 (+/- 2) after injection of treatment",,,,,Primary Sponsor,Zentrum für AugenheilkundeUniklinik Köln,Sascha,Fauser,Contact for Scientific Queries,Zentrum für Augenheilkunde der Uniklinik Köln,Sascha,Fauser,100,"Recruiting complete, follow-up complete",yes,Monocenter trial,,,,,,,,,,,,,,,
433,286,DRKS00004450,Köln,9,none,,,,,,,"kein UMC, Sporthochschule",SW,"Effects of a targeted, individualized sports therapy program for childhood cancer patients on motor Performance<br/><br/>Publication: Beulertz J, Prokop A, Rustler V, Bloch W, Felsch M, Baumann FT. Effects of a 6-Month, Group-Based, Therapeutic Exercise Program for Childhood Cancer Outpatients on Motor Performance, Level of Activity, and Quality of Life. Pediatric Blood and Cancer. 2016;63(1):127-132. ",2012-10-09,2012/07/18,Actual,2015/03/31,Arm 1,"6-month sports therapy program for childhood cancer patients after inpatient medical treatment (once a week, 60 minutes)",Arm 2,childhood cancer patients; no intervention,Arm 3,healthy children; no intervention,Primary Sponsor,"Deutsche Sporthochschule Köln, Institut für Kreislaufforschung und Sportmedizin, Abteilung Molekulare und Zelluläre Sportmedizin",Freerk,Baumann,Contact for Scientific Queries,"Deutsche Sporthochschule Köln, Institut für Kreislaufforschung und Sportmedizin, Abteilung Molekulare und Zelluläre Sportmedizin",Freerk,Baumann,69,"Recruiting complete, follow-up complete",yes,Monocenter trial,Paper,[---]*,"Beulertz J, Prokop A, Rustler V, Bloch W, Felsch M, Baumann FT. Effects of a 6-Month, Group-Based, Therapeutic Exercise Program for Childhood Cancer Outpatients on Motor Performance, Level of Activity, and Quality of Life. Pediatric Blood and Cancer. 2016;63(1):127-132. ",,,,,,,,,,,,
